UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000072158,Epidemiologists,8,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000072159,Dynactin Complex,21,2025/01/01-2025/12/31,20,2024/01/01-2024/12/31
D000072160,Tumor Protein p73,23,2025/01/01-2025/12/31,20,2024/01/01-2024/12/31
D000072161,Orthopedic Surgeons,253,2025/01/01-2025/12/31,285,2024/01/01-2024/12/31
D000072162,Optometrists,65,2025/01/01-2025/12/31,60,2024/01/01-2024/12/31
D000072163,Ophthalmologists,129,2025/01/01-2025/12/31,144,2024/01/01-2024/12/31
D000072176,Superconductivity,3,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000072177,Radiologists,347,2025/01/01-2025/12/31,543,2024/01/01-2024/12/31
D000072178,Urologists,93,2025/01/01-2025/12/31,130,2024/01/01-2024/12/31
D000072179,Interleukin-1 Receptor-Like 1 Protein,133,2025/01/01-2025/12/31,150,2024/01/01-2024/12/31
D000072180,Phosphoinositide Phosphatases,24,2025/01/01-2025/12/31,32,2024/01/01-2024/12/31
D000072181,Inositol Polyphosphate 5-Phosphatases,4,2025/01/01-2025/12/31,6,2024/01/01-2024/12/31
D000072182,Non-Medical Public and Private Facilities,12728,2025/01/01-2025/12/31,12968,2024/01/01-2024/12/31
D000072183,"Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatases",19,2025/01/01-2025/12/31,27,2024/01/01-2024/12/31
D000072184,Nurse Specialists,490,2025/01/01-2025/12/31,439,2024/01/01-2024/12/31
D000072196,Fertilins,2,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000072197,ADAM10 Protein,61,2025/01/01-2025/12/31,67,2024/01/01-2024/12/31
D000072198,ADAM17 Protein,69,2025/01/01-2025/12/31,81,2024/01/01-2024/12/31
D000072199,ADAM12 Protein,12,2025/01/01-2025/12/31,8,2024/01/01-2024/12/31
D000072200,Ku Autoantigen,52,2025/01/01-2025/12/31,55,2024/01/01-2024/12/31
D000072216,Zona Pellucida Glycoproteins,18,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000072218,Endodontists,16,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000072219,Geriatricians,25,2025/01/01-2025/12/31,39,2024/01/01-2024/12/31
D000072220,Otolaryngologists,70,2025/01/01-2025/12/31,78,2024/01/01-2024/12/31
D000072221,"Nurses, Neonatal",31,2025/01/01-2025/12/31,30,2024/01/01-2024/12/31
D000072222,"Nurses, Pediatric",94,2025/01/01-2025/12/31,89,2024/01/01-2024/12/31
D000072223,Allergists,14,2025/01/01-2025/12/31,25,2024/01/01-2024/12/31
D000072224,Bcl-2-Like Protein 11,26,2025/01/01-2025/12/31,30,2024/01/01-2024/12/31
D000072226,Computed Tomography Angiography,2124,2025/01/01-2025/12/31,2011,2024/01/01-2024/12/31
D000072227,Shoulder Prosthesis,169,2025/01/01-2025/12/31,143,2024/01/01-2024/12/31
D000072228,"Arthroplasty, Replacement, Shoulder",525,2025/01/01-2025/12/31,541,2024/01/01-2024/12/31
D000072229,Posterior Cruciate Ligament Reconstruction,26,2025/01/01-2025/12/31,27,2024/01/01-2024/12/31
D000072230,Sustained Virologic Response,178,2025/01/01-2025/12/31,171,2024/01/01-2024/12/31
D000072231,In Vivo Dosimetry,8,2025/01/01-2025/12/31,11,2024/01/01-2024/12/31
D000072232,Radiation Dosimeters,37,2025/01/01-2025/12/31,53,2024/01/01-2024/12/31
D000072233,Homer Scaffolding Proteins,26,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000072234,Donor Conception,12,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000072235,Mating Factor,3,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000072236,Methyl-Accepting Chemotaxis Proteins,18,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000072237,ERG1 Potassium Channel,68,2025/01/01-2025/12/31,70,2024/01/01-2024/12/31
D000072257,Oxygen Radical Absorbance Capacity,4,2025/01/01-2025/12/31,3,2024/01/01-2024/12/31
D000072258,Tumor Hypoxia,172,2025/01/01-2025/12/31,172,2024/01/01-2024/12/31
D000072259,Connexin 26,71,2025/01/01-2025/12/31,68,2024/01/01-2024/12/31
D000072260,RNA Splicing Factors,475,2025/01/01-2025/12/31,509,2024/01/01-2024/12/31
D000072261,Dishevelled Proteins,27,2025/01/01-2025/12/31,27,2024/01/01-2024/12/31
D000072263,Private Facilities,7,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000072264,Sports and Recreational Facilities,572,2025/01/01-2025/12/31,572,2024/01/01-2024/12/31
D000072277,Maximal Respiratory Pressures,14,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000072278,Forkhead Box Protein M1,115,2025/01/01-2025/12/31,116,2024/01/01-2024/12/31
D000072280,"Bacteria, Thermoduric",0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000072281,Lymphadenopathy,170,2025/01/01-2025/12/31,250,2024/01/01-2024/12/31
D000072282,Extraintestinal Pathogenic Escherichia coli,142,2025/01/01-2025/12/31,143,2024/01/01-2024/12/31
D000072283,A549 Cells,1640,2025/01/01-2025/12/31,1289,2024/01/01-2024/12/31
D000072296,Bathroom Equipment,11,2025/01/01-2025/12/31,22,2024/01/01-2024/12/31
D000072316,Dioxins and Dioxin-like Compounds,432,2025/01/01-2025/12/31,522,2024/01/01-2024/12/31
D000072317,Polychlorinated Dibenzodioxins,93,2025/01/01-2025/12/31,141,2024/01/01-2024/12/31
D000072318,Dibenzofurans,39,2025/01/01-2025/12/31,57,2024/01/01-2024/12/31
D000072336,Mucosal-Associated Invariant T Cells,75,2025/01/01-2025/12/31,82,2024/01/01-2024/12/31
D000072338,"Dibenzofurans, Polychlorinated",27,2025/01/01-2025/12/31,44,2024/01/01-2024/12/31
D000072339,Sexual and Gender Minorities,2938,2025/01/01-2025/12/31,3650,2024/01/01-2024/12/31
D000072340,NIMA-Interacting Peptidylprolyl Isomerase,42,2025/01/01-2025/12/31,44,2024/01/01-2024/12/31
D000072356,Parenchymal Tissue,19,2025/01/01-2025/12/31,18,2024/01/01-2024/12/31
D000072357,Applied Behavior Analysis,5,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000072358,Work-Life Balance,235,2025/01/01-2025/12/31,168,2024/01/01-2024/12/31
D000072359,Trichodesmium,6,2025/01/01-2025/12/31,8,2024/01/01-2024/12/31
D000072376,Oxysterols,104,2025/01/01-2025/12/31,115,2024/01/01-2024/12/31
D000072377,Syk Kinase,108,2025/01/01-2025/12/31,114,2024/01/01-2024/12/31
D000072378,Radiation Oncologists,29,2025/01/01-2025/12/31,48,2024/01/01-2024/12/31
D000072379,NIMA-Related Kinases,98,2025/01/01-2025/12/31,76,2024/01/01-2024/12/31
D000072380,NIMA-Related Kinase 1,7,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000072396,Endothelin-Converting Enzymes,10,2025/01/01-2025/12/31,9,2024/01/01-2024/12/31
D000072416,Protein Structural Elements,3475,2025/01/01-2025/12/31,3313,2024/01/01-2024/12/31
D000072417,Protein Domains,2977,2025/01/01-2025/12/31,2816,2024/01/01-2024/12/31
D000072436,Transportation Facilities,54,2025/01/01-2025/12/31,59,2024/01/01-2024/12/31
D000072437,Calendars as Topic,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000072438,Calendar,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000072439,Postcards as Topic,0,2025/01/01-2025/12/31,0,2024/01/01-2024/12/31
D000072440,Public Health Systems Research,2,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000072441,"DNA, Ancient",190,2025/01/01-2025/12/31,131,2024/01/01-2024/12/31
D000072458,"Orientation, Spatial",415,2025/01/01-2025/12/31,356,2024/01/01-2024/12/31
D000072461,Cytochrome P450 Family 1,192,2025/01/01-2025/12/31,207,2024/01/01-2024/12/31
D000072466,Cognitive Remediation,85,2025/01/01-2025/12/31,76,2024/01/01-2024/12/31
D000072467,Cytochrome P450 Family 2,442,2025/01/01-2025/12/31,529,2024/01/01-2024/12/31
D000072469,Cytochrome P450 Family 3,343,2025/01/01-2025/12/31,446,2024/01/01-2024/12/31
